Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,7.766990291,6.060606061,6.206896552,5.389221557,5.235602094,5.288461538,4.411764706,3.194110105,3.279153551,3.273644958,3.186373458,3.362072098,3.109199221,3.679275801,4.059012899,4.291452216,4.127033285,3.579439001,8.486559055,6.368374311,8.988227621,8.528778462,8.580026549,11.37568531,9.15508378,12.30343684,12.61237868,10.70585709,10.55546302,10.73530326,10.33523192,13.2394932,8.294522134,18.76657613,25.06320636,14.05488667,17.90179837,20.50729821,19.46266029,21.20781336,18.45182547,12.99260706,13.40590452,11.50394015,13.40177071,12.96431456,11.70938317,10.24392717
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1676914,0.813912979,4.604021941,4.85667651,1.640946959,0.001605204,0.001734257,0.002743277,0.005597508,0.004401825,4.797803995,0.256114678,4.357823063,8.183901031,6.653960195,7.868130377,6.456048653,0,0.000207235,0.000368629,0,,
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118339308,0.010374334,0.095398262,0.039038011,1.47E-05,0.000290912,0.000328494,0.000445091,0.000764706,0.0011864,0.001175164,0.00717884,0.002968432,0.00434216,0.002578313,0.018059181,0.165773626,0.227673255,0.034564849,0.007436098,0.002808044,,
Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.71241802,13.43233279,26.14508686,26.80985142,6.917617616,6.937444569,7.868654725,10.75791663,18.83092011,14.03468807,17.70818683,8.483757486,9.390264068,11.57841227,11.09761153,9.994595542,10.04529717,10.57919053,8.863438992,12.47597368,9.502466124,,
Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.40099746,51.85881823,62.34797026,61.95817721,46.00617901,,,,59.9084807,60.57452886,67.67170785,58.19410918,62.86092139,67.8671406,61.15738447,63.27479675,63.9856923,64.17569317,64.86094034,65.18923806,64.30459631,63.24002289,
Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.61711056,27.00495029,23.0564431,19.33983627,15.61575313,,,,25.48322236,28.94608876,19.65469293,23.3409378,20.34512483,17.98866852,20.64616883,19.92731427,21.22747402,19.45451283,19.06049776,19.8190807,22.05117689,20.66964345,
"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3.04,5.04,5,5.58,3.62,1.3,6.32,5.89,7.38,0.09,0.06,0.11,0.19,0.27,1.22,1.19,1.06,,
"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,21.53846,23.57143,27.22513,21.69811,25.83333,28.85572,28,34.17722,17.6,2.071563,3.541913,4.725415,5.213005,2.45098,11.21823,11.30285,11.28271,,
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,,,16.35,16.74,15.67,13.58,12.06,10.32,10.56,13.16,13.08,1.37,2.43,2.79,2.01,1.43,3.36,3.35,3.31,,
"Share of tariff lines with international peaks, all products (%)",TM.TAX.MRCH.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.742576,,,23.24274,24.72119,23.04587,21.522,38.10027,38.74101,22.62343,33.75282,20.73593,11.66492,14.62945,14.5476,13.30618,10.11171,16.5895,16.81824,17.36391,,
"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,17.36,17.42,16.33,13.94,12.38,10.8,10.75,13.73,13.77,2.37,4.04,4.55,3.18,1.98,4.46,4.46,4.46,,
"Share of tariff lines with international peaks, manufactured products (%)",TM.TAX.MANF.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.251462,,,23.35329,24.80119,22.7578,21.51015,38.92958,39.41748,22.26162,33.68493,20.91533,13.67215,16.6609,16.53127,14.9536,11.90172,17.60063,17.86968,18.50714,,
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,60.72876921,67.22691762,59.72290968,57.39798212,57.75897572,58.3090612,67.01942713,65.80948261,61.8429437,60.63548385,55.2807902,56.22363328,79.09713052,83.34110452,88.82918876,117.6793535,155.0860085,128.2880274,117.417564,128.5609621,120.9613838,130.3582677,160.8640263,133.4370112,141.0718518,136.2469199,119.1751314,128.1133727,138.3940622,137.8658461,123.069638,124.9422556,121.2952874,120.0360703,116.3676625,126.4604838,138.7784287,133.8671545,122.2453248,113.7193206,115.970888,123.8938326,151.203194,137.9309857,142.1352501,122.5076849,123.215889,152.6730897,151.9113072,148.4344457,142.2094478,142.3574912,144.2465492,127.6660549,124.2491402,123.9959712,129.680556,134.1285908,133.2422021,108.9067232,105.0650055,116.2459378,107.6970172
"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000000,32000000,32000000,24000000,23000000,18000000,16000000,14000000,21000000,26000000,27000000,29000000,31000000,30000000,30000000,23000000,24000000,22000000,17000000,16000000,34000000,48000000,23000000,24000000,21000000,5000000,,
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000000,33700000.76,33720001.22,24700000.76,23100000.38,,,,,,,,,,,,,,,,,,,,,,,
Urban population (% of total population),SP.URB.TOTL.IN.ZS,3.512,3.96,4.464,5.029,5.661,6.366,7.065,7.425,7.802,8.196,8.608,9.039,9.474,9.905,10.355,10.822,11.213,11.272,11.331,11.39,11.45,11.51,11.57,11.63,11.691,11.752,11.905,12.394,12.901,13.425,13.967,14.527,15.106,15.703,16.319,16.955,17.571,18.049,18.538,19.038,19.548,20.067,20.597,21.137,21.689,22.249,22.82,23.304,23.796,24.293,24.798,25.31,25.704,26.101,26.502,26.908,27.317,27.73,28.153,28.585,29.028,29.48,29.943
Rural population growth (annual %),SP.RUR.TOTL.ZG,,2.611799342,2.551987059,2.475986096,2.38452481,2.319551787,2.411171083,3.052854087,3.232394605,3.17010383,3.087656806,3.02183031,2.985049202,2.961679168,2.938664577,2.890916751,2.820353161,2.909686456,2.735110911,2.726366653,2.724065374,2.722346115,2.718368751,2.710481852,2.69791575,2.654025272,2.457254348,1.774484567,1.446845699,1.302354026,1.161441316,1.028784246,0.892892349,0.735046228,0.592365242,0.456287843,0.336387155,0.308539343,0.061408331,-0.183285325,-0.412162878,-0.605021469,-0.762296423,-0.90815146,-1.086772183,-1.119394039,-0.769670019,-0.291507983,-0.062994862,0.05273953,0.004207443,0.052249575,0.303885996,0.395333532,0.477840224,0.550960943,0.628386086,0.669987651,0.667365054,0.648597563,0.64560554,0.56727865,0.403874539
"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,43.4,,,,,53.9,,,,54.3,,,,
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,44.05614783,44.20754506,44.34948724,44.48239979,44.60516773,44.71518914,44.80723463,45.15089948,45.73501142,46.28614579,46.79656975,47.266905,47.70096296,48.10259671,48.47754195,48.80412439,49.02831566,49.14429848,49.2064756,49.25572551,49.30118664,49.34331652,49.38400254,49.42505902,49.46681015,49.48428803,49.42086152,49.34050016,49.29824835,49.25807443,49.21937057,49.18226694,49.14487812,49.10404683,49.06199068,49.01899043,48.97493629,48.94414875,48.92681902,48.91319664,48.90620075,48.90518652,48.90660184,48.90714139,48.9055014,48.90099443,48.8906201,48.92246649,48.96702479,48.99149848,49.03000721,49.07426447,49.12372403,49.17116656,49.21264465,49.24459092,49.27038555,49.29303511,49.31303989,49.33077294,49.34053503,49.34125343,49.33141067
"Population, total",SP.POP.TOTL,737838,760895,784681,809138,834215,860220,887841,918923,952992,987909,1023481,1059879,1097242,1135631,1175369,1216180,1256478,1294435,1331213,1368917,1407672,1447501,1488399,1530331,1573267,1616697,1659793,1698939,1733733,1767091,1798997,1829509,1858507,1885478,1910642,1934079,1955098,1972579,1985639,1994243,1998630,1999473,1997534,1993030,1985384,1977424,1976780,1983465,1995014,2009169,2022747,2037677,2054718,2073939,2095242,2118521,2143872,2170617,2198017,2225702,2254100,2281454,2305825
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,89.50038581,89.65006596,89.60877231,89.15161507,88.10962543,87.73879147,88.21124723,87.89433051,86.76385268,85.39833736,83.87587358,82.3092551,80.77146495,79.30124382,77.97659321,76.90233035,76.17764756,76.35252054,77.12391294,77.82689541,78.5319921,79.22577574,79.8671174,80.43157106,80.93848798,81.10858858,80.34341587,79.706223,79.77775067,79.73263703,79.45873707,78.97156581,78.32360172,77.53693411,76.59443799,75.560176,74.55279415,73.40675686,72.07751983,70.73020949,69.42159462,68.23724938,67.15216155,66.14731769,65.23786359,64.38707913,63.57983834,62.64059162,61.77318361,61.16298207,60.53062882,59.85758039,59.21278875,58.67120973,58.2656367,57.89170753,57.49492382,57.03592215,56.50405054,56.0034178,55.59870573,55.27090019,54.96246393
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.42499454,0.406394696,0.389509815,0.374245674,0.359443004,0.344989848,0.330679684,0.313206115,0.294022499,0.276753877,0.261194458,0.247518823,0.236914758,0.229832454,0.225258231,0.222476438,0.221174114,0.221098608,0.222199323,0.22357496,0.224784186,0.226602758,0.228833886,0.231104589,0.233152949,0.235246618,0.238149372,0.242226359,0.247689248,0.254642794,0.262859356,0.272395682,0.283239595,0.294973462,0.307819829,0.321496605,0.335819649,0.350868107,0.366285473,0.381978332,0.397461159,0.411568085,0.424034381,0.435811206,0.447339624,0.457765651,0.465823728,0.47142322,0.475433221,0.478654343,0.481924674,0.485212373,0.488480751,0.492164735,0.495866406,0.498439023,0.498961463,0.497307149,0.493630228,0.488362233,0.477753251,0.456694424,0.43371562
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,1.00826609,0.954596467,0.91637536,0.895883575,0.888731227,0.890422177,0.895637944,0.891173227,0.875643282,0.858254122,0.841209011,0.827591163,0.815922964,0.804276293,0.792923013,0.782079232,0.773338333,0.769561489,0.77147666,0.777951875,0.789266267,0.804415289,0.821802074,0.840332246,0.858920301,0.877549885,0.897616495,0.919398448,0.941031941,0.960669091,0.976617093,0.986448009,0.990681669,0.991579593,0.990720067,0.989751768,0.990540027,0.994083147,1.000247038,1.008972288,1.019894542,1.032320546,1.047265119,1.065059801,1.083460999,1.098368683,1.102632287,1.092327122,1.069609586,1.040055998,1.007761513,0.973774831,0.944366397,0.920590264,0.89911548,0.882524632,0.873573077,0.871385679,0.880470999,0.906229806,0.910684823,0.885539461,0.864046615
"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,3.584535921,3.487205405,3.404151994,3.332509085,3.270595412,3.217348804,3.173444071,3.110128283,3.028443207,2.955941351,2.892138798,2.83628626,2.788620449,2.750392436,2.721351093,2.703665765,2.702220101,2.718420351,2.74684467,2.780264004,2.816790802,2.857280865,2.900489911,2.943674867,2.984923119,3.023831532,3.061441563,3.099197092,3.136305136,3.171345362,3.204568953,3.237629946,3.27203592,3.307947542,3.347453966,3.390217559,3.434644932,3.483926098,3.53938714,3.598039055,3.655670753,3.705339954,3.741789932,3.765181065,3.778003785,3.775674665,3.745887052,3.695898273,3.635280431,3.569106451,3.508385409,3.454788097,3.41020098,3.383375148,3.380678085,3.35473426,3.302300307,3.266656542,3.247644981,3.24521349,3.241951654,3.214494474,3.180844952
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,1.497555858,1.505473842,1.510481995,1.506984808,1.498104694,1.48616011,1.476181259,1.455643193,1.423422225,1.39350115,1.365790207,1.33849796,1.31506797,1.299363407,1.291176318,1.292233458,1.303506888,1.323840686,1.348843777,1.373855152,1.397768585,1.421290019,1.443748631,1.463045411,1.478070195,1.487728614,1.490886992,1.488848104,1.483502984,1.47610103,1.468963114,1.466057787,1.468860615,1.476163422,1.488800393,1.506329728,1.52703685,1.552623743,1.583256992,1.61525781,1.644322904,1.664271094,1.668755703,1.656810986,1.632555325,1.597345135,1.549624402,1.50016566,1.454296429,1.410717225,1.376149795,1.353834523,1.341402521,1.346024953,1.376167475,1.381586704,1.356014519,1.339626389,1.327141544,1.314852924,1.327432037,1.356802624,1.376663577
"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,2.287556566,2.258656698,2.241513327,2.237416788,2.246955484,2.274411216,2.328206185,2.384897657,2.435694767,2.496033486,2.559956238,2.621403991,2.675799348,2.720462045,2.753204906,2.770973101,2.769586895,2.756305004,2.737455967,2.714192598,2.692366992,2.676250673,2.668730979,2.671518805,2.685981077,2.707273583,2.722168616,2.74292572,2.777290277,2.811525272,2.841196244,2.858209768,2.855114243,2.832220477,2.794381048,2.744640141,2.687497128,2.634592229,2.586746405,2.53709065,2.485948188,2.435098387,2.389486199,2.366337893,2.381142423,2.34487908,2.241168802,2.191713484,2.160715775,2.10703408,2.13047106,2.223556701,2.313162676,2.391936304,2.454892692,2.498281823,2.526474637,2.545556503,2.559072099,2.567727016,2.563512365,2.54339974,2.518645112
"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,2.972808348,3.052716854,3.133894538,3.214428602,3.292901034,3.379834602,3.506009044,3.591687204,3.613505533,3.641976051,3.680733098,3.733442188,3.802577403,3.888113424,3.987342716,4.091174062,4.181042984,4.250626629,4.309491369,4.360786954,4.399790201,4.417388699,4.407161059,4.370296185,4.311370013,4.229876696,4.116442669,4.003146974,3.908915409,3.815908138,3.724302039,3.636999135,3.561023516,3.522508063,3.546728768,3.506823365,3.386864653,3.303908748,3.238566767,3.166750047,3.190431468,3.308856051,3.411723821,3.491054996,3.543803185,3.567862607,3.556122343,3.567131563,3.576830142,3.546044892,3.529509631,3.524639878,3.5320611,3.552725317,3.580120538,3.609896699,3.649268101,3.6980268,3.752761419,3.827523064,3.925560945,4.041359228,4.169595247
"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,3.364270926,3.446774038,3.546249082,3.662023094,3.792627589,3.943985296,4.134061641,4.386452239,4.67269778,4.946032447,5.190483001,5.391019857,5.539410961,5.641558394,5.707009857,5.732832839,5.704993503,5.614788534,5.490025456,5.362981177,5.237111293,5.117078091,5.014482382,4.963195801,4.991233475,4.921804249,4.724464164,4.571880866,4.457470457,4.343403011,4.368152175,4.530925967,4.686427382,4.824992493,4.94170572,5.032561024,5.097555321,5.139143157,5.162787825,5.169163297,5.159066309,5.131485495,5.098802314,5.070819321,5.046435882,5.029682635,5.027160979,5.055600527,5.096230571,5.150397939,5.255192198,5.406387863,5.591001769,5.795070606,6.002184993,6.200869009,6.387094881,6.566304894,6.749185932,6.9358913,7.115138219,7.27841748,7.432242649
"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,5.800875523,5.881574742,5.895520565,5.847067714,5.750147472,5.617589023,5.46168213,5.463331747,5.626119935,5.78635388,5.935962468,6.076387503,6.221209603,6.418284082,6.702024692,6.809665974,6.709164562,6.57015774,6.395157566,6.221538685,6.239490259,6.444212809,6.635706521,6.800001322,6.928028402,7.032961401,7.153319554,7.238518107,7.262665263,7.269641042,7.266324808,7.253826987,7.248886256,7.263248964,7.29198559,7.331293391,7.384115851,7.436539482,7.482064003,7.5494542,7.657342443,7.800312012,7.96662591,8.144016727,8.318395407,8.48802896,8.668180783,8.832602762,9.002112297,9.197447583,9.374415492,9.521092788,9.655928445,9.775485999,9.84803484,9.872159976,9.855873459,9.783707373,9.647677825,9.477433284,9.321246016,9.204866669,9.113346722
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,50.41032042,50.40879491,50.45126618,50.60011432,50.9036345,51.02517439,50.91660556,51.02663662,51.36540949,51.77359453,52.23191626,52.71030938,53.18703622,53.64891692,54.07170004,54.41904159,54.65342224,54.60092627,54.35863921,54.13606308,53.91214931,53.69013689,53.48307141,53.30026641,53.13675301,53.07398356,53.2877895,53.46322028,53.4255563,53.42309665,53.48916646,53.61912578,53.79772581,54.01829138,54.28617711,54.58387547,54.87624019,55.21275833,55.60839609,56.01436234,56.41516939,56.78476278,57.13248364,57.46426296,57.77444061,58.0789957,58.39142444,58.76635081,59.12551469,59.39497872,59.66487653,59.94381346,60.204101,60.41157922,60.54907725,60.68787156,60.85356309,61.03506515,61.23665104,61.41717566,61.56159886,61.69358188,61.82438784
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,54.77051663,54.59168831,54.46603287,54.45283813,54.59738028,54.62986035,54.49763685,54.3593961,54.22510087,54.157358,54.15506641,54.19846236,54.27317735,54.36741979,54.45503762,54.52207878,54.58155853,54.46013063,54.20131032,53.97785347,53.75805603,53.5420829,53.33489078,53.14501265,52.97114233,52.92288157,53.23960003,53.50339008,53.47944844,53.48648005,53.55990553,53.69658783,53.88495534,54.11913108,54.40203526,54.71725764,55.02914776,55.38910116,55.80808753,56.22809299,56.6335284,56.99910192,57.33567638,57.65244094,57.94938297,58.24783053,58.57159118,58.91345965,59.22695373,59.47438984,59.69653572,59.91378064,60.09973559,60.22882718,60.29068205,60.36501751,60.47704165,60.61261731,60.77576825,60.92302699,61.04622498,61.17205484,61.30854408
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,15.06277245,14.68476169,14.35396112,14.00490103,13.59339539,13.50490967,13.71975054,13.89326408,14.00926005,14.02544036,13.95500816,13.81214918,13.61017969,13.36277556,13.07033024,12.75503499,12.45400999,12.27116923,12.19920845,12.15558148,12.14259675,12.17025519,12.22288584,12.28490119,12.38370461,12.5148201,12.60100929,12.68249737,12.80572131,12.91497929,12.99586822,13.04631949,13.08015122,13.1221067,13.17608617,13.22988062,13.28056789,13.33153799,13.37263641,13.37851941,13.34011626,13.2690696,13.14578235,12.95850971,12.74910205,12.55590217,12.38395795,12.2195949,12.05437412,11.88904647,11.71683459,11.5334941,11.36360484,11.23888915,11.1398769,11.03534412,10.9221959,10.82822996,10.74841649,10.67702653,10.63622509,10.65010331,10.69045048
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,45.11749192,45.19145217,45.20881734,45.11081244,44.85099456,44.76886423,44.91412314,44.84962287,44.56661516,44.21373831,43.80997605,43.38537701,42.9600307,42.54430244,42.16326958,41.84947952,41.63366106,41.68915396,41.92350958,42.1324091,42.33829247,42.53642745,42.71532701,42.87023526,43.00808445,43.04755313,42.81323032,42.61353704,42.62170127,42.59567204,42.50179406,42.34389053,42.13629542,41.88415351,41.58023847,41.24367237,40.91174481,40.52986991,40.0811779,39.61909356,39.16435258,38.74836019,38.36571452,38.01109366,37.69079432,37.39534364,37.12517326,36.81158982,36.52368768,36.32773052,36.11551519,35.88091633,35.64854155,35.44420435,35.27932924,35.13324511,34.98774647,34.81189911,34.601211,34.39571749,34.2274522,34.09859807,33.98019495
"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,40.05826419,40.28549724,40.44831507,40.49165931,40.37233479,40.36457266,40.52464777,40.68247224,40.83079776,40.91937431,40.94922575,40.93990592,40.90315014,40.84665843,40.79793123,40.76664622,40.73336165,40.87181478,41.14017185,41.36725757,41.58533279,41.79207779,41.98432904,42.15980469,42.32182108,42.36147207,42.04306205,41.77077603,41.77397208,41.74608671,41.6513189,41.49280075,41.28182313,41.02150616,40.70720262,40.35815976,40.01270061,39.61207051,39.14285066,38.6695557,38.21393178,37.80511977,37.43503872,37.09594263,36.79151122,36.50878401,36.23950827,35.96895881,35.73569783,35.56813846,35.39970388,35.21666143,35.04114356,34.89092717,34.77133175,34.65648188,34.53251169,34.37268462,34.17238985,33.97285382,33.79905685,33.65263358,33.50824126
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,,,,,19.6,,,,,19.1,,,,,,,,
Wanted fertility rate (births per woman),SP.DYN.WFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,2.4,,,,,2.3,,,,,,,,
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,46.243,46.306,46.283,46.204,46.074,45.89,46.021,46.119,46.269,46.649,46.996,47.283,47.76,48.136,48.516,48.993,49.354,49.883,50.425,51.032,51.724,52.538,53.264,53.804,54.353,54.846,55.164,55.169,55.328,55.425,55.328,55.33,54.611,54.094,54.106,52.944,51.652,50.273,48.707,47.422,46.07,44.774,43.545,42.525,41.609,41.157,40.689,40.811,41.247,42.069,43.214,44.301,45.36,46.428,47.419,48.48,49.564,50.351,50.992,51.406,51.962,50.374,
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,139.1,138.7,138.9,139.7,140.5,141,141,140.2,138.6,136.5,134.1,131.4,128.5,125.5,122.2,118.4,114,109.5,104.9,100.3,95.7,91.3,87.2,83.5,80.2,77.3,74.8,72.6,70.7,69.1,67.8,66.9,66.5,66.6,67.1,67.5,67.5,67.3,67.4,67.7,68.3,68.8,69.3,70,71.1,72.3,72.5,71.2,73.8,70.1,67,64.5,64.8,64.9,63.8,63.2,63,62,60.8,60,58.4,57,
